name;unvan;ana_bilim_dali;uzmanlik_alani;toplam_makale;sci_ssci;kitap_sayisi
MUHAMMED FATİH TALU;Profesör;BİLGİSAYAR BİLİMLERİ;"Bilgisayar Bilimleri ve Mühendisliği | Görüntü İşleme ; Yapay Zeka ; Modelleme ve Simülasyon | Görüntü İşleme | Yapay Zeka | Modelleme ve Simülasyon | Mühendislik Temel Alanı";113;6;7
ADNAN FATİH KOCAMAZ;Profesör;BİLGİSAYAR YAZILIMI;"Bilgisayar Bilimleri ve Mühendisliği | Robotik ; Yapay Zeka ; Kuantum Hesaplama | Robotik | Yapay Zeka | Kuantum Hesaplama | Mühendislik Temel Alanı";48;4;5
TOLGA AYAV;Profesör;BİLGİSAYAR MÜHENDİSLİĞİ;"Bilgisayar Bilimleri ve Mühendisliği | Bilgisayar Sistem Yapısı ve Donanımı ; Gömülü Sistemler | Bilgisayar Sistem Yapısı ve Donanımı | Gömülü Sistemler | Mühendislik Temel Alanı";19;1;1
CÜNEYT FEHMİ BAZLAMAÇCI;Profesör;BİLGİSAYAR MÜHENDİSLİĞİ;"Bilgisayar Bilimleri ve Mühendisliği | Bilgisayar ve İletişim Ağları ; Bilgisayar Sistem Yapısı ve Donanımı ; Gömülü Sistemler | Bilgisayar ve İletişim Ağları | Bilgisayar Sistem Yapısı ve Donanımı | Gömülü Sistemler | Mühendislik Temel Alanı";10;1;0
TUĞKAN TUĞLULAR;Profesör;BİLGİSAYAR MÜHENDİSLİĞİ;"Bilgisayar Bilimleri ve Mühendisliği | Bilgisayar Yazılımı ; Bilgi Güvenliği ve Kriptoloji | Bilgisayar Yazılımı | Bilgi Güvenliği ve Kriptoloji 159632ED49A5B7B3 | Mühendislik Temel Alanı";9;0;2
AYTUĞ ONAN;Profesör;BİLGİSAYAR MÜHENDİSLİĞİ;"Bilgisayar Bilimleri ve Mühendisliği | Bilgisayar Yazılımı ve Yazılım Mühendisliği ; Yapay Zeka ; Makine Öğrenmesi | Bilgisayar Yazılımı ve Yazılım Mühendisliği | Yapay Zeka | Makine Öğrenmesi | Mühendislik Temel Alanı";77;5;12
YALIN BAŞTANLAR;Profesör;BİLGİSAYAR MÜHENDİSLİĞİ;"Bilgisayar Bilimleri ve Mühendisliği | Yapay Zeka ; Makine Öğrenmesi ; Görüntü İşleme | Yapay Zeka | Makine Öğrenmesi | Görüntü İşleme 4EE1078BC64C3AF1 | Mühendislik Temel Alanı";21;5;4
BELGİN ERGENÇ BOSTANOĞLU;Profesör;BİLGİSAYAR MÜHENDİSLİĞİ;"Bilgisayar Bilimleri ve Mühendisliği | Bilgi Sistemleri ; Veri Madenciliği ; Veri Mahremiyeti | Bilgi Sistemleri | Veri Madenciliği | Veri Mahremiyeti | Mühendislik Temel Alanı";15;1;2
İSMAİL KIRBAŞ;Profesör;BİLGİSAYAR YAZILIMI;"Bilgisayar Bilimleri ve Mühendisliği | Programlama Dilleri ; Yapay Zeka ; Veri Madenciliği | Programlama Dilleri | Yapay Zeka | Veri Madenciliği | Mühendislik Temel Alanı";37;2;9
ALİ HAKAN IŞIK;Profesör;BİLGİSAYAR BİLİMLERİ;"Bilgisayar Bilimleri ve Mühendisliği | Yapay Zeka ; Bilgi Sistemleri ; Sanal ve Artırılmış Gerçeklik | Yapay Zeka | Bilgi Sistemleri | Sanal ve Artırılmış Gerçeklik | Mühendislik Temel Alanı";72;8;21
